,date,open,high,low,close,volume
0,2018-07-05,272.17,273.18,270.96,273.11,56925919.0
1,2018-07-06,273.14,275.84,272.715,275.42,66493696.0
2,2018-07-09,276.55,277.96,276.5,277.9,50550399.0
3,2018-07-10,278.41,279.01,278.08,278.9,51966829.0
4,2018-07-11,277.15,278.04,276.52,276.86,77054739.0
5,2018-07-12,278.28,279.43,277.6,279.37,60124687.0
6,2018-07-13,279.17,279.93,278.66,279.59,48234964.0
7,2018-07-16,279.64,279.803,278.84,279.34,48201038.0
8,2018-07-17,278.47,280.91,278.41,280.47,52315500.0
9,2018-07-18,280.56,281.18,280.06,281.06,44593465.0
10,2018-07-19,280.31,280.74,279.46,280.0,61412117.0
11,2018-07-20,279.77,280.48,279.5,279.68,82372729.0
12,2018-07-23,279.45,280.43,279.06,280.2,47047565.0
13,2018-07-24,281.79,282.56,280.63,281.61,68026935.0
14,2018-07-25,281.33,284.37,281.28,284.01,78882927.0
15,2018-07-26,283.2,284.11,283.09,283.34,57919495.0
16,2018-07-27,283.71,283.82,280.38,281.42,76783177.0
17,2018-07-30,281.51,281.69,279.36,279.95,63742508.0
18,2018-07-31,280.81,282.02,280.38,281.33,68570493.0
19,2018-08-01,281.56,282.13,280.1315,280.86,53853326.0
20,2018-08-02,279.39,282.58,279.16,282.39,63426363.0
21,2018-08-03,282.53,283.6577,282.33,283.6,53935386.0
22,2018-08-06,283.64,284.99,283.2015,284.64,39400887.0
23,2018-08-07,285.39,286.01,285.24,285.58,43196646.0
24,2018-08-08,285.39,285.91,284.94,285.46,42114551.0
25,2018-08-09,285.53,285.97,284.915,285.07,35716976.0
26,2018-08-10,283.45,284.055,282.36,283.16,77076044.0
27,2018-08-13,283.47,284.16,281.77,282.1,65732909.0
28,2018-08-14,282.92,284.17,282.4833,283.9,43842031.0
29,2018-08-15,282.38,282.54,280.16,281.78,102925355.0
30,2018-08-16,283.4,285.04,283.36,284.06,69967919.0
